# file...... IEEE-13_House_power.csv
# date...... Tue Dec  1 01:37:27 2020
# user...... (null)
# host...... (null)
# group..... class=triplex_load
# property.. constant_power_12
# limit..... 10000
# interval.. 60
# timestamp,tl_house_1,tl_house_16,tl_house_31,tl_house_2,tl_house_17,tl_house_32,tl_house_3,tl_house_18,tl_house_33,tl_house_4,tl_house_19,tl_house_34,tl_house_5,tl_house_20,tl_house_35,tl_house_6,tl_house_21,tl_house_36,tl_house_7,tl_house_22,tl_house_37,tl_house_8,tl_house_23,tl_house_38,tl_house_9,tl_house_24,tl_house_39,tl_house_10,tl_house_25,tl_house_40,tl_house_11,tl_house_26,tl_house_12,tl_house_27,tl_house_13,tl_house_28,tl_house_14,tl_house_29,tl_house_15,tl_house_30
2018-01-01 00:00:00 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2018-01-01 00:01:00 EST,+331.412+219.862j,+627.052+414.697j,+395.7+235.726j,+1099.96+701.218j,+297.575+985.816j,+684.665+1545.42j,+411.345+255.437j,+620.173+410.699j,+514.241+1047.47j,+242.915+136.018j,+586.847+385.18j,+392.501+250.049j,+617.452+415.292j,+323.911+498.423j,+427.958+830.673j,+382.603+925.915j,+689.008+1407.32j,+329.311+929.956j,+650.263+432.883j,+354.866+235.411j,+412.731+1024.43j,+470.209+275.449j,+334.677+942.234j,+703.956+1124.45j,+215.258+120.921j,+330.439+222.041j,+248.644+149.045j,+217.193+128.458j,+238.248+629.596j,+421.737+673.655j,+353.675+224.244j,+431.416+270.858j,+330.608+210.166j,+429.042+996.362j,+286.587+157.793j,+429.777+1109.36j,+205.989+133.624j,+686.552+443.719j,+395.979+968.821j,+688.24+1293.9j
2018-01-01 00:02:00 EST,+310.358+178.526j,+588.091+342.952j,+368.078+192.051j,+1020.43+561.446j,+272.824+944.39j,+640.701+1460.31j,+379.16+204.758j,+577.769+332.908j,+470.675+991.337j,+221.552+105.825j,+545.953+312.564j,+363.981+200.898j,+575.951+339.285j,+299.048+458.345j,+397.574+778.978j,+353.735+878.948j,+641.443+1325.69j,+307.29+884.763j,+604.984+348.109j,+330.306+188.754j,+381.261+964.193j,+432.172+217.788j,+309.899+896.771j,+658.669+1017.68j,+199.155+94.9807j,+310.256+181.451j,+231.221+119.628j,+201.091+102.383j,+220.296+602.398j,+391.505+630.815j,+331.331+182.978j,+404.325+222.554j,+308.478+170.657j,+399.049+931.497j,+265.06+126.941j,+401.274+1060.96j,+191.726+104.133j,+643.807+368.71j,+368.674+915.645j,+645.096+1217.18j
2018-01-01 00:03:00 EST,+310.39+178.573j,+588.152+343.032j,+368.121+192.1j,+1020.54+561.581j,+272.856+944.43j,+640.763+1460.39j,+379.199+204.8j,+577.821+332.972j,+470.728+991.383j,+221.579+105.853j,+546.007+312.629j,+364.018+200.942j,+575.991+339.335j,+299.072+458.372j,+397.603+779.012j,+353.77+878.988j,+641.502+1325.76j,+307.316+884.802j,+605.03+348.169j,+330.331+188.787j,+381.292+964.236j,+432.222+217.842j,+309.931+896.814j,+658.726+1017.78j,+199.165+94.994j,+310.27+181.472j,+231.233+119.643j,+201.101+102.397j,+220.308+602.412j,+391.525+630.837j,+331.348+183.002j,+404.346+222.582j,+308.508+170.698j,+399.087+931.566j,+265.073+126.955j,+401.29+1060.99j,+191.736+104.151j,+643.841+368.753j,+368.71+915.701j,+645.157+1217.26j
2018-01-01 00:04:00 EST,+310.39+178.573j,+588.152+343.032j,+368.121+192.1j,+1020.54+561.581j,+272.856+944.43j,+640.763+1460.39j,+379.199+204.8j,+577.821+332.972j,+470.728+991.383j,+221.579+105.853j,+546.007+312.629j,+364.018+200.942j,+575.991+339.335j,+299.072+458.372j,+397.603+779.012j,+353.77+878.988j,+641.502+1325.76j,+307.316+884.802j,+605.03+348.169j,+330.331+188.787j,+381.292+964.236j,+432.222+217.842j,+309.931+896.814j,+658.726+1017.78j,+199.165+94.994j,+310.27+181.472j,+231.233+119.643j,+201.101+102.397j,+220.308+602.412j,+391.525+630.837j,+331.348+183.002j,+404.346+222.582j,+308.507+170.698j,+399.087+931.566j,+265.073+126.955j,+401.29+1060.99j,+191.736+104.151j,+643.841+368.753j,+368.71+915.701j,+645.157+1217.26j
2018-01-01 00:05:00 EST,+310.415+178.609j,+588.199+343.095j,+368.154+192.138j,+1020.41+561.42j,+272.817+944.382j,+640.689+1460.3j,+379.227+204.829j,+577.858+333.016j,+470.766+991.416j,+221.74+106.018j,+546.325+313.014j,+364.237+201.204j,+576.021+339.373j,+299.089+458.392j,+397.624+779.038j,+353.8+879.023j,+641.552+1325.82j,+307.339+884.835j,+605.062+348.21j,+330.348+188.809j,+381.313+964.266j,+432.261+217.885j,+309.956+896.847j,+658.771+1017.85j,+199.141+94.9634j,+310.239+181.425j,+231.206+119.608j,+201.077+102.365j,+220.28+602.379j,+391.477+630.786j,+331.367+183.028j,+404.369+222.612j,+308.535+170.735j,+399.122+931.628j,+265.039+126.919j,+401.246+1060.93j,+191.747+104.169j,+643.877+368.799j,+368.742+915.749j,+645.209+1217.33j
2018-01-01 00:06:00 EST,+310.57+178.838j,+588.494+343.49j,+368.361+192.38j,+1020.31+561.288j,+272.785+944.342j,+640.629+1460.22j,+379.249+204.854j,+577.888+333.053j,+470.797+991.443j,+221.763+106.041j,+546.369+313.069j,+364.268+201.241j,+576.052+339.411j,+299.107+458.413j,+397.647+779.064j,+353.832+879.059j,+641.606+1325.88j,+307.362+884.87j,+605.094+348.252j,+330.365+188.832j,+381.334+964.296j,+432.303+217.931j,+309.983+896.883j,+658.819+1017.94j,+199.088+94.8969j,+310.172+181.322j,+231.148+119.533j,+201.027+102.301j,+220.224+602.313j,+391.38+630.682j,+331.404+183.082j,+404.415+222.674j,+308.59+170.81j,+399.192+931.754j,+264.972+126.846j,+401.157+1060.82j,+191.77+104.206j,+643.949+368.892j,+368.806+915.847j,+645.317+1217.47j
2018-01-01 00:07:00 EST,+306.125+172.878j,+579.994+333.223j,+362.408+186.08j,+1012.97+552.713j,+270.605+941.736j,+636.469+1455.1j,+376.63+202.173j,+574.407+329.01j,+467.192+988.473j,+219.855+104.17j,+542.606+308.722j,+361.675+198.285j,+572.236+334.868j,+296.872+455.971j,+394.88+775.957j,+350.959+875.934j,+636.769+1320.53j,+305.228+881.871j,+601.255+343.48j,+328.294+186.208j,+378.79+960.828j,+428.551+214.037j,+307.581+893.816j,+654.558+1010.77j,+196.027+91.3046j,+306.249+175.82j,+227.788+115.498j,+197.612+98.2838j,+216.379+598.132j,+384.694+624.214j,+326.297+176.497j,+398.146+214.999j,+303.3+164.236j,+392.599+920.715j,+260.745+122.595j,+395.517+1054.23j,+189.015+99.8875j,+634.815+358.27j,+363.186+907.891j,+635.762+1206.3j
2018-01-01 00:08:00 EST,+306.08+172.824j,+579.907+333.13j,+362.347+186.023j,+1013.14+552.903j,+270.656+941.794j,+636.567+1455.21j,+376.896+202.433j,+574.76+329.4j,+467.558+988.76j,+219.806+104.124j,+542.509+308.617j,+361.608+198.213j,+572.356+335.003j,+296.942+456.044j,+394.967+776.05j,+350.888+875.862j,+636.65+1320.41j,+305.175+881.802j,+601.553+343.833j,+328.455+186.403j,+378.987+961.086j,+428.452+213.94j,+307.518+893.739j,+654.446+1010.59j,+196.061+91.3415j,+306.293+175.876j,+227.825+115.539j,+197.647+98.3213j,+216.418+598.171j,+384.763+624.274j,+326.346+176.553j,+398.206+215.065j,+303.251+164.181j,+392.539+920.622j,+260.792+122.639j,+395.58+1054.3j,+189.043+99.9281j,+634.911+358.368j,+363.129+907.818j,+635.663+1206.19j
2018-01-01 00:09:00 EST,+306.122+172.874j,+579.989+333.217j,+362.404+186.077j,+1013.04+552.799j,+270.628+941.762j,+636.514+1455.15j,+376.917+202.453j,+574.788+329.431j,+467.587+988.783j,+219.826+104.143j,+542.548+308.659j,+361.635+198.242j,+572.384+335.036j,+296.959+456.061j,+394.988+776.072j,+350.916+875.89j,+636.697+1320.45j,+305.196+881.829j,+601.583+343.869j,+328.471+186.422j,+379.007+961.112j,+428.488+213.975j,+307.541+893.767j,+654.486+1010.66j,+196.019+91.2965j,+306.239+175.808j,+227.779+115.489j,+197.603+98.2739j,+216.369+598.122j,+384.676+624.198j,+326.378+176.59j,+398.245+215.108j,+303.39+164.336j,+392.708+920.884j,+260.734+122.585j,+395.502+1054.22j,+189.063+99.9565j,+634.977+358.437j,+363.182+907.886j,+635.755+1206.29j
