# file...... IEEE-13_House_voltage.csv
# date...... Tue Dec  1 01:37:27 2020
# user...... (null)
# host...... (null)
# group..... class=triplex_load
# property.. voltage_12
# limit..... 10000
# interval.. 60
# timestamp,tl_house_1,tl_house_16,tl_house_31,tl_house_2,tl_house_17,tl_house_32,tl_house_3,tl_house_18,tl_house_33,tl_house_4,tl_house_19,tl_house_34,tl_house_5,tl_house_20,tl_house_35,tl_house_6,tl_house_21,tl_house_36,tl_house_7,tl_house_22,tl_house_37,tl_house_8,tl_house_23,tl_house_38,tl_house_9,tl_house_24,tl_house_39,tl_house_10,tl_house_25,tl_house_40,tl_house_11,tl_house_26,tl_house_12,tl_house_27,tl_house_13,tl_house_28,tl_house_14,tl_house_29,tl_house_15,tl_house_30
2018-01-01 00:00:00 EST,-107.748+193.165j,-107.748+193.165j,-107.748+193.165j,+219.336-1.17593j,+219.336-1.17593j,+219.336-1.17593j,-110.677-188.465j,-110.677-188.465j,-110.677-188.465j,-107.43+190.823j,-107.43+190.823j,-107.43+190.823j,-110.38-189.47j,-110.38-189.47j,-110.38-189.47j,-108.268+190.953j,-108.268+190.953j,-108.268+190.953j,-110.576-189.011j,-110.576-189.011j,-110.576-189.011j,-108.273+190.957j,-108.273+190.957j,-108.273+190.957j,+221.604-2.18856j,+221.604-2.18856j,+221.604-2.18856j,+221.918-2.89837j,+221.918-2.89837j,+221.918-2.89837j,-112.339-191.327j,-112.339-191.327j,-107.921+193.826j,-107.921+193.826j,+221.641-2.22437j,+221.641-2.22437j,-111.916-191.05j,-111.916-191.05j,-108.116+193.298j,-108.116+193.298j
2018-01-01 00:01:00 EST,-107.499+192.919j,-107.499+192.919j,-107.499+192.919j,+218.914-1.24701j,+218.914-1.24701j,+218.914-1.24701j,-110.62-188.184j,-110.62-188.184j,-110.62-188.184j,-107.196+190.629j,-107.196+190.629j,-107.196+190.629j,-110.313-189.267j,-110.313-189.267j,-110.313-189.267j,-108.041+190.621j,-108.041+190.621j,-108.041+190.621j,-110.504-188.803j,-110.504-188.803j,-110.504-188.803j,-108.04+190.663j,-108.04+190.663j,-108.04+190.663j,+221.443-2.28523j,+221.443-2.28523j,+221.443-2.28523j,+221.714-2.97672j,+221.714-2.97672j,+221.714-2.97672j,-112.349-191.206j,-112.349-191.206j,-107.71+193.568j,-107.71+193.568j,+221.454-2.30176j,+221.454-2.30176j,-111.926-190.924j,-111.926-190.924j,-107.883+192.992j,-107.883+192.992j
2018-01-01 00:02:00 EST,-107.518+192.945j,-107.518+192.945j,-107.518+192.945j,+218.946-1.24434j,+218.946-1.24434j,+218.946-1.24434j,-110.632-188.211j,-110.632-188.211j,-110.632-188.211j,-107.215+190.653j,-107.215+190.653j,-107.215+190.653j,-110.324-189.286j,-110.324-189.286j,-110.324-189.286j,-108.059+190.643j,-108.059+190.643j,-108.059+190.643j,-110.517-188.823j,-110.517-188.823j,-110.517-188.823j,-108.059+190.688j,-108.059+190.688j,-108.059+190.688j,+221.456-2.28161j,+221.456-2.28161j,+221.456-2.28161j,+221.727-2.97213j,+221.727-2.97213j,+221.727-2.97213j,-112.356-191.219j,-112.356-191.219j,-107.727+193.591j,-107.727+193.591j,+221.466-2.29734j,+221.466-2.29734j,-111.933-190.939j,-111.933-190.939j,-107.901+193.015j,-107.901+193.015j
2018-01-01 00:03:00 EST,-107.518+192.945j,-107.518+192.945j,-107.518+192.945j,+218.946-1.24435j,+218.946-1.24435j,+218.946-1.24435j,-110.632-188.211j,-110.632-188.211j,-110.632-188.211j,-107.215+190.653j,-107.215+190.653j,-107.215+190.653j,-110.324-189.286j,-110.324-189.286j,-110.324-189.286j,-108.059+190.643j,-108.059+190.643j,-108.059+190.643j,-110.517-188.823j,-110.517-188.823j,-110.517-188.823j,-108.059+190.688j,-108.059+190.688j,-108.059+190.688j,+221.456-2.28162j,+221.456-2.28162j,+221.456-2.28162j,+221.727-2.97214j,+221.727-2.97214j,+221.727-2.97214j,-112.356-191.219j,-112.356-191.219j,-107.727+193.591j,-107.727+193.591j,+221.466-2.29735j,+221.466-2.29735j,-111.933-190.939j,-111.933-190.939j,-107.901+193.015j,-107.901+193.015j
2018-01-01 00:04:00 EST,-107.59+192.933j,-107.59+192.933j,-107.59+192.933j,+218.907-1.24997j,+218.907-1.24997j,+218.907-1.24997j,-110.666-188.215j,-110.666-188.215j,-110.666-188.215j,-107.636+190.623j,-107.636+190.623j,-107.636+190.623j,-110.352-189.289j,-110.352-189.289j,-110.352-189.289j,-108.129+190.631j,-108.129+190.631j,-108.129+190.631j,-110.545-188.826j,-110.545-188.826j,-110.545-188.826j,-108.129+190.676j,-108.129+190.676j,-108.129+190.676j,+221.425-2.28512j,+221.425-2.28512j,+221.425-2.28512j,+221.696-2.9754j,+221.696-2.9754j,+221.696-2.9754j,-112.385-191.221j,-112.385-191.221j,-107.799+193.579j,-107.799+193.579j,+221.435-2.30086j,+221.435-2.30086j,-111.962-190.941j,-111.962-190.941j,-107.973+193.003j,-107.973+193.003j
2018-01-01 00:05:00 EST,-107.143+188.153j,-107.143+188.153j,-107.143+188.153j,+216.849-0.293339j,+216.849-0.293339j,+216.849-0.293339j,-109.321-186.459j,-109.321-186.459j,-109.321-186.459j,-107.297+188.239j,-107.297+188.239j,-107.297+188.239j,-109.009-187.528j,-109.009-187.528j,-109.009-187.528j,-107.785+188.242j,-107.785+188.242j,-107.785+188.242j,-109.2-187.068j,-109.2-187.068j,-109.2-187.068j,-107.786+188.288j,-107.786+188.288j,-107.786+188.288j,+217.305-0.364845j,+217.305-0.364845j,+217.305-0.364845j,+217.219-0.556485j,+217.219-0.556485j,+217.219-0.556485j,-109.16-187.621j,-109.16-187.621j,-107.275+188.234j,-107.275+188.234j,+217.319-0.379575j,+217.319-0.379575j,-109.276-187.421j,-109.276-187.421j,-107.294+188.228j,-107.294+188.228j
2018-01-01 00:06:00 EST,-107.189+188.083j,-107.189+188.083j,-107.189+188.083j,+216.692-0.560387j,+216.692-0.560387j,+216.692-0.560387j,-109.087-186.881j,-109.087-186.881j,-109.087-186.881j,-107.69+188.139j,-107.69+188.139j,-107.69+188.139j,-108.946-187.684j,-108.946-187.684j,-108.946-187.684j,-107.827+188.166j,-107.827+188.166j,-107.827+188.166j,-109.02-187.398j,-109.02-187.398j,-109.02-187.398j,-107.825+188.207j,-107.825+188.207j,-107.825+188.207j,+217.297-0.455109j,+217.297-0.455109j,+217.297-0.455109j,+217.211-0.646704j,+217.211-0.646704j,+217.211-0.646704j,-109.106-187.747j,-109.106-187.747j,-107.321+188.164j,-107.321+188.164j,+217.311-0.469853j,+217.311-0.469853j,-109.221-187.548j,-109.221-187.548j,-107.341+188.158j,-107.341+188.158j
2018-01-01 00:07:00 EST,-107.16+188.044j,-107.16+188.044j,-107.16+188.044j,+216.743-0.61421j,+216.743-0.61421j,+216.743-0.61421j,-108.804-187.278j,-108.804-187.278j,-108.804-187.278j,-107.656+188.094j,-107.656+188.094j,-107.656+188.094j,-108.846-187.819j,-108.846-187.819j,-108.846-187.819j,-107.792+188.119j,-107.792+188.119j,-107.792+188.119j,-108.803-187.707j,-108.803-187.707j,-108.803-187.707j,-107.787+188.157j,-107.787+188.157j,-107.787+188.157j,+217.344-0.503397j,+217.344-0.503397j,+217.344-0.503397j,+217.258-0.694808j,+217.258-0.694808j,+217.258-0.694808j,-109.014-187.854j,-109.014-187.854j,-107.292+188.125j,-107.292+188.125j,+217.357-0.518055j,+217.357-0.518055j,-109.13-187.654j,-109.13-187.654j,-107.312+188.119j,-107.312+188.119j
2018-01-01 00:08:00 EST,-107.296+188.018j,-107.296+188.018j,-107.296+188.018j,+216.715-0.618545j,+216.715-0.618545j,+216.715-0.618545j,-108.83-187.281j,-108.83-187.281j,-108.83-187.281j,-107.723+188.081j,-107.723+188.081j,-107.723+188.081j,-108.872-187.823j,-108.872-187.823j,-108.872-187.823j,-107.86+188.106j,-107.86+188.106j,-107.86+188.106j,-108.829-187.711j,-108.829-187.711j,-108.829-187.711j,-107.855+188.144j,-107.855+188.144j,-107.855+188.144j,+217.287-0.512133j,+217.287-0.512133j,+217.287-0.512133j,+217.199-0.699439j,+217.199-0.699439j,+217.199-0.699439j,-109.069-187.857j,-109.069-187.857j,-107.633+188.087j,-107.633+188.087j,+217.3-0.526797j,+217.3-0.526797j,-109.182-187.661j,-109.182-187.661j,-107.448+188.093j,-107.448+188.093j
2018-01-01 00:09:00 EST,-107.243+188.03j,-107.243+188.03j,-107.243+188.03j,+216.76-0.57867j,+216.76-0.57867j,+216.76-0.57867j,-108.774-187.302j,-108.774-187.302j,-108.774-187.302j,-107.697+188.087j,-107.697+188.087j,-107.697+188.087j,-108.816-187.843j,-108.816-187.843j,-108.816-187.843j,-107.834+188.112j,-107.834+188.112j,-107.834+188.112j,-108.772-187.731j,-108.772-187.731j,-108.772-187.731j,-107.829+188.15j,-107.829+188.15j,-107.829+188.15j,+217.377-0.432097j,+217.377-0.432097j,+217.377-0.432097j,+217.381-0.435674j,+217.381-0.435674j,+217.381-0.435674j,-108.95-187.897j,-108.95-187.897j,-107.575+188.099j,-107.575+188.099j,+217.391-0.446754j,+217.391-0.446754j,-108.955-187.859j,-108.955-187.859j,-107.395+188.105j,-107.395+188.105j
