East,Southeast,South,Southwest,West
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
0.225974,0.26604,0.1620214,0.0217102,0.0217102
0.459576,0.57772,0.462744,0.1690896,0.0344816
0.535674,0.716514,0.663788,0.397318,0.0831442
0.525634,0.759312,0.78045,0.581118,0.251764
0.305526,0.453854,0.506048,0.43806,0.281676
0.23189,0.39523,0.485256,0.45833,0.326674
0.123704,0.1917692,0.24324,0.248532,0.205058
0.0490524,0.1743762,0.336214,0.38908,0.307934
0.0219056,0.0415732,0.22185,0.31905,0.263434
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
0.236274,0.278082,0.1679048,0.0204592,0.0204592
0.462172,0.580976,0.46392,0.1669266,0.0321588
0.53445,0.713832,0.660542,0.39478,0.0833132
0.519818,0.747588,0.767396,0.57241,0.24695
0.4443,0.71957,0.81262,0.689706,0.396892
0.309154,0.623648,0.790294,0.74033,0.491924
0.1374594,0.4546,0.68449,0.707088,0.514278
0.0328004,0.23607,0.501016,0.585382,0.454944
0.01843738,0.0402404,0.235438,0.339808,0.28004
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
-0.000303606,-0.000303606,-0.000303606,-0.000303606,-0.000303606
