Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,72214,-,-,-,32.77,-117.14,-8,72,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (285-385nm),
2018,1,1,0,0,0,0,0,0,0,0,0,6.4,170.05,0,0.12,1.4000000000000001,1.6,72,55.71,15.200000000000001,1013,0.0000,0.0000,N/A
2018,1,1,0,30,0,0,0,0,0,0,0,6.4,167.12,0,0.12,1.5,1.6,70,56.07,15.100000000000001,1013,0.0000,0.0000,N/A
2018,1,1,1,0,0,0,0,0,0,0,0,5.9,162.11,0,0.12,1.5,1.6,69,54.06,15.100000000000001,1013,0.0000,0.0000,N/A
2018,1,1,1,30,0,0,0,0,0,0,0,5.9,156.32,0,0.12,1.5,1.6,66,54.410000000000004,15,1013,0.0000,0.0000,N/A
2018,1,1,2,0,0,0,0,0,0,0,3,5.300000000000001,150.22,0,0.12,1.6,1.5,62,52.39,15,1013,0.0000,0.0000,N/A
2018,1,1,2,30,0,0,0,0,0,0,0,5.300000000000001,143.98,0,0.12,1.6,1.5,61,53.07,14.8,1013,0.0000,0.0000,N/A
2018,1,1,3,0,0,0,0,0,0,0,0,4.7,137.68,0,0.12,1.6,1.5,60,51.19,14.700000000000001,1013,0.0000,0.0000,N/A
2018,1,1,3,30,0,0,0,0,0,0,0,4.7,131.38,0,0.12,1.7000000000000002,1.5,63,51.85,14.5,1013,0.0000,0.0000,N/A
2018,1,1,4,0,0,0,0,0,0,0,0,4.1000000000000005,125.10000000000001,0,0.12,1.7000000000000002,1.5,66,49.99,14.4,1013,0.0000,0.0000,N/A
2018,1,1,4,30,0,0,0,0,0,0,0,4.1000000000000005,118.87,0,0.12,1.7000000000000002,1.4000000000000001,68,50.97,14.100000000000001,1013,0.0000,0.0000,N/A
